stringId	preferredName
ENSP00000264346	HERC6
ENSP00000326381	EIF4A2
ENSP00000428338	SPSB2
ENSP00000373684	STK38L
ENSP00000343282	HIST1H4D
ENSP00000408598	PABPN1L
ENSP00000347032	PIP4K2C
ENSP00000259895	GTF2H4
ENSP00000380414	DEK
ENSP00000263088	PLD2
ENSP00000312709	TAF7
ENSP00000310260	INTS6
ENSP00000258145	GNS
ENSP00000225698	C1QBP
ENSP00000344866	FBXL5
ENSP00000295704	RNF25
ENSP00000329002	HAX1
ENSP00000262584	RPL8
ENSP00000376258	RNF34
ENSP00000225719	CPD
ENSP00000281456	SLC25A4
ENSP00000296417	H2AFZ
ENSP00000344818	UBC
ENSP00000264658	FBXL20
ENSP00000307288	MCM7
ENSP00000353444	RAB5B
ENSP00000215754	MIF
ENSP00000336747	HIP1
ENSP00000301452	ACER1
ENSP00000359258	GCLM
ENSP00000309103	BAD
ENSP00000253108	EIF3G
ENSP00000355231	BECN1
ENSP00000258200	FBXL8
ENSP00000414237	INTS2
ENSP00000314949	POLR2A
ENSP00000262493	GNAO1
ENSP00000256379	MED6
ENSP00000392718	POTEI
ENSP00000260402	PLCB2
ENSP00000301788	POLR2G
ENSP00000265428	WWP1
ENSP00000321927	FBXL13
ENSP00000369785	PIR
ENSP00000347168	HIST1H4J
ENSP00000320493	TRIP10
ENSP00000296161	DTX3L
ENSP00000355566	TOMM20
ENSP00000347184	HTT
ENSP00000285667	HSPA13
ENSP00000381412	CAMK2A
ENSP00000376372	PLD4
ENSP00000341247	GSPT2
ENSP00000266497	PIK3C2G
ENSP00000262958	GNA15
ENSP00000333266	UBA7
ENSP00000296223	POLR2H
ENSP00000438788	CUL7
ENSP00000317334	TCP1
ENSP00000221307	CYP4F3
ENSP00000263073	SMG6
ENSP00000291700	S100B
ENSP00000261609	HERC2
ENSP00000262992	INPP4B
ENSP00000261593	RNF138
ENSP00000302640	UBTF
ENSP00000371152	ASAH1
ENSP00000298999	R3HCC1L
ENSP00000264552	UBE2S
ENSP00000300161	YWHAB
ENSP00000329357	SP1
ENSP00000276201	UPF3B
ENSP00000336666	AP1S1
ENSP00000320346	ELL3
ENSP00000302896	RPS9
ENSP00000266095	PISD
ENSP00000295688	CCT3
ENSP00000431603	POU2F2
ENSP00000347836	UBE2H
ENSP00000406209	EPN1
ENSP00000380177	HIST1H2BN
ENSP00000366886	KLHL21
ENSP00000263370	ITPKC
ENSP00000315167	ALOX12B
ENSP00000313454	UBA6
ENSP00000252996	TAF4
ENSP00000349960	ACTB
ENSP00000362532	RPRD1B
ENSP00000360515	SUPT3H
ENSP00000358867	GNAI3
ENSP00000345530	NEDD4
ENSP00000290913	CHCHD6
ENSP00000293860	POLR3K
ENSP00000393183	VPRBP
ENSP00000417573	YIPF6
ENSP00000262306	TCEB2
ENSP00000283131	SMARCA5
ENSP00000362068	TAF8
ENSP00000451560	TUBB3
ENSP00000299424	TAF10
ENSP00000330442	PLB1
ENSP00000261868	EIF3J
ENSP00000339027	RPLP0
ENSP00000359683	ENSG00000249967
ENSP00000289382	C2orf29
ENSP00000263253	EP300
ENSP00000381298	LONRF1
ENSP00000318697	TUBB6
ENSP00000355279	CNOT7
ENSP00000376337	BTBD6
ENSP00000470004	RPS19
ENSP00000307850	DRAP1
ENSP00000277458	ASB6
ENSP00000271234	FNBP1L
